     solid_ec_shield  |          cc_pro_tcd  |               solid_ec_shield  |                               0*cm 0*cm 92.742*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |                 Box  |                                         13*cm 13*cm 0.56*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     solid_ec_showe1  |          cc_pro_tcd  |               solid_ec_showe1  |                               0*cm 6.25*cm 120*cm  |                      0*deg 0*deg 30*deg  | 00ffff   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -22.698*cm 22.698*cm  |      G4_POLYSTYRENE  |                  no  |     1   |     1   |     1   |   1   |   1   |            solid_ec  |            solid_ec  |                       id manual 3100001 
solid_ec_showe1_lead1  |     solid_ec_showe1  |         solid_ec_showe1_lead1  |                              0*cm 0*cm -22.673*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.025*cm 0.025*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_leadrod1  |solid_ec_showe1_lead1  |      solid_ec_showe1_leadrod1  |                               5.6255*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |                Tube  |                          0*cm 0.3*cm 0.025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_leadrod2  |solid_ec_showe1_lead1  |      solid_ec_showe1_leadrod2  |      2.81273806984771*cm 4.87183279684652*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_leadrod1  |                          0*cm 0.3*cm 0.025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_leadrod3  |solid_ec_showe1_lead1  |      solid_ec_showe1_leadrod3  |     -2.81277386025399*cm 4.87181213318739*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_leadrod1  |                          0*cm 0.3*cm 0.025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_leadrod4  |solid_ec_showe1_lead1  |      solid_ec_showe1_leadrod4  | -5.6254999998482*cm -4.13272306174735e-05*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_leadrod1  |                          0*cm 0.3*cm 0.025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_leadrod5  |solid_ec_showe1_lead1  |      solid_ec_showe1_leadrod5  |    -2.81270227928962*cm -4.87185346024272*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_leadrod1  |                          0*cm 0.3*cm 0.025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_leadrod6  |solid_ec_showe1_lead1  |      solid_ec_showe1_leadrod6  |     2.81280965050846*cm -4.87179146926533*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_leadrod1  |                          0*cm 0.3*cm 0.025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfront1  |     solid_ec_showe1  |   solid_ec_showe1_paintfront1  |                             0*cm 0*cm -22.6955*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0025*cm 0.0025*cm  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfrontrod1  |solid_ec_showe1_paintfront1  |solid_ec_showe1_paintfrontrod1  |                               5.6255*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |                Tube  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
